ID_HOSPITAL,HOSPITAL_REFERENCIA,MUNICIPIO_REFERENCIA,REGIAO_REFERENCIA,ENDERECO_REFERENCIA,LEITOS_REFERENCIA,LAT,LOG,TELEFONE_REFERENCIA,EMAIL_REFERENCIA
2282801,Hospital Doutor. Celso Erthal ,Bom Jardim,REGIÃO SERRANA,"R. João Figueira Rodrigues, 36 - Centro, Bom Jardim - RJ, 28660-000",2.0,-221519701,-424202651,(22) 25662140,
9491619,Hospital de Cordeiro,Cordeiro,REGIÃO SERRANA,"R. Abel Ventura Ribeiro de Moraes, 361 - Centro, Cordeiro - RJ, 28540-000",3.0,-220284772,-42360678,(22) 25510764,
2267713,Hospital de Cantagalo,Cantagalo,REGIÃO SERRANA,"Praça Miguel Santos, 25 - Lot. Vila Bella, Cantagalo - RJ, 28500-000",4.0,-219772034,-423584617,(22) 25554192,
2696924,Hospital Municipal Doutor Celso Martins,Cachoeiras de Macacu,REGIÃO SERRANA,"R. Pref. José da Silva, 260 - Centro, Cachoeiras de Macacu - RJ, 28680-000",4.0,-224609328,-426540678,(21) 26492006,
2267810,Hospital Municipal Dr Antonio Carlos da Silva Monnerat,Duas Barras,REGIÃO SERRANA,"Av. Getúlio Vargas, 199 - Centro, Duas Barras - RJ, 28650-000",2.0,-220506408,-425238239,(22) 25341385,
6146376,Hospital Municipal José Rabello de Mello,Guapimirim,REGIÃO SERRANA,"R. Oswaldo Cruz, s/n - Bananal, Guapimirim - RJ, 25940-000",4.0,-225329412,-429842973,(21) 26323169,
2272784,Hospital Municipal Raul Sertã,Nova Friburgo,REGIÃO SERRANA,"Av. Pres. Costa e Silva, 834 - Centro, Nova Friburgo - RJ, 28630-000",8.0,-222720299,-425361104,(22) 25242300,
2275589,Hospital Municipal Nelson de Sá Earp,Petrópolis,REGIÃO SERRANA,"R. Paulino Afonso, 455 - Centro, Petrópolis - RJ, 25660-003",8.0,-2250796,-43192391,(24) 22374062,
2704633,Hospital São Sebastião,São Sebastião do Alto,REGIÃO SERRANA,"R. Aureliano Lannes Queiroz, 69 - Centro, São Sebastião do Alto - RJ, 28555-000",2.0,-21951328,-421355499,(22) 2559-1313,
4381513,Hospital e Maternidade Santa Therezinha,São José do Vale do Rio Preto,REGIÃO SERRANA,"R. Profa. Maria Emilia Esteves, 617 - Centro, São José do Vale do Rio Preto - RJ, 25780-000",1.0,-221491082,-429176385,(24) 22241150,
5095824,Hospital Basileu Estrela,Santa Maria Madalena,REGIÃO SERRANA,"R. Barão de Macabu - Centro, Santa Maria Madalena - RJ, 28770-000",2.0,-219592682,-42011236,(22) 998791525,
2268051,Hospital Municipal Dr. João Pereira Martins,Sumidoro,REGIÃO SERRANA,"R. Carlos Alberto de Moura Júnior, 2 - Centro, Sumidouro - RJ, 28637-000",2.0,-220494369,-426768381,(22) 25311164,
3584968,Hospital Francisco Limongi,Trajano de Moraes,REGIÃO SERRANA,"R. Dr. Ney Fortuna, 30 - Cruzeiro, Trajano de Moraes - RJ, 28750-000",2.0,-220670165,-42061635,(22) 25641102,
